"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
58, 3.560400009160000e-01, -5.933561549045978e-02, 2.305989988761696e+02, -1.214622001162267e+00, -2.958451552824003e-02, 8.021475470873273e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.323007147019087e-01
59, 3.409900069240000e-01, -5.963847719943702e-02, 2.375226029355111e+02, -1.239215686894158e+00, -1.837110928939170e-02, 8.244279065976721e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.468859102072126e-01
60, 3.261100053790000e-01, -5.985254444802346e-02, 2.450369567411722e+02, -1.265379962088682e+00, -5.467424928626008e-03, 8.496240641353106e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.890892075493504e-02
61, 3.113999962810000e-01, -5.997565198183213e-02, 2.522340091184310e+02, -1.290072416299024e+00, 8.865612182046264e-03, 8.728593226200673e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.488447032477326e-02
62, 2.968699932100000e-01, -6.000550062925582e-02, 2.585630353272414e+02, -1.311665453247963e+00, 2.412435510837609e-02, 8.935931061895891e-04, 0.000000000000000e+00, 0.000000000000000e+00, -5.575557790814846e-02
63, 2.825500071050000e-01, -5.994005483718394e-02, 2.652463342461326e+02, -1.334427665248739e+00, 3.955730039118867e-02, 9.148937393752822e-04, 0.000000000000000e+00, 0.000000000000000e+00, -7.047687438555864e-02
64, 2.684499919410000e-01, -5.977765596976551e-02, 2.733157909033484e+02, -1.361975557277089e+00, 5.624439273436621e-02, 9.415346744997803e-04, 0.000000000000000e+00, 0.000000000000000e+00, -8.139615793151460e-02
65, 2.545700073240000e-01, -5.951657836311273e-02, 2.839460396096530e+02, -1.398246867375924e+00, 7.450307343696147e-02, 9.758170867032318e-04, 0.000000000000000e+00, 0.000000000000000e+00, -9.604596674784564e-02
66, 2.409400045870000e-01, -5.915585896897953e-02, 2.966317674988483e+02, -1.441475229198021e+00, 9.531008131662362e-02, 1.016838048660588e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.053028136575852e-01
67, 2.275699973110000e-01, -5.869456802648413e-02, 3.094622726286699e+02, -1.485008249089421e+00, 1.183041394620239e-01, 1.057069859825808e-03, 0.000000000000000e+00, 0.000000000000000e+00, -9.464009177828835e-02
68, 2.144699990750000e-01, -5.813197420944613e-02, 3.179399447267062e+02, -1.513215605938689e+00, 1.427782200532966e-01, 1.082965267529363e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.318780558763766e-02
69, 2.016600072380000e-01, -5.746811193675738e-02, 3.171684976837104e+02, -1.509161265714188e+00, 1.664302714779385e-01, 1.078769328780680e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.269094850262868e-02
70, 1.891400069000000e-01, -5.670228146432130e-02, 3.045542082947388e+02, -1.463649552480616e+00, 1.868729834005533e-01, 1.037199917424433e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.694251032074892e-02
71, 1.769299954180000e-01, -5.583513598033686e-02, 2.827814273951574e+02, -1.386028220457201e+00, 2.037808297865764e-01, 9.676752757076693e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.066267852196469e-01
72, 1.650400012730000e-01, -5.486709202536137e-02, 2.595007267194565e+02, -1.302599116512049e+00, 2.194460582168998e-01, 8.940026690541798e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.717714332161734e-02
73, 1.534900069240000e-01, -5.379977779145956e-02, 2.421717381813066e+02, -1.239362750052513e+00, 2.380877928805157e-01, 8.397545135507060e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.689899413235716e-02
74, 1.422899961470000e-01, -5.263443049277360e-02, 2.334089771913384e+02, -1.205583672039579e+00, 2.620223916060103e-01, 8.122278385914940e-04, 0.000000000000000e+00, 0.000000000000000e+00, -8.371399457665882e-03
